rera_office_number,company_name_en,company_name_ar,trade_licence,status,registration_date,expiry_date,address,phone_office,email_office,website,specialisation_tags,land_specialist_flag,source_url,retrieved_date,pdpl_compliance_note
1554132,Prop Plus Capital Real Estate Management LLC,,,,,,"Office 1st floor, Building Abu Dhabi Mall, Al Zahiyah, Al Maiyani st, Abu Dhabi, PO Box E16 01",+971585629822,info@proppluscapital.com,https://www.propertyfinder.ae/en/broker/prop-plus-capital-real-estate-management-llc-12643,total_properties:46,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
16322,SAND SQUARE GROUP LIMITED,,,,,,"Office 45th floor, Building Etihad Tower 3, Corniche Area, Corniche Road, Abu Dhabi,",+971585733939,mma@sandsquaregroup.com,https://www.propertyfinder.ae/en/broker/sand-square-group-limited-9354,total_properties:18,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
18711,PSI ASSETS REAL ESTATES LIMITED,,,,,,"Office 1st floor, Building Shams Boutik Mall, Al Reem Island, Al Reem Island, Abu Dhabi,",+971506132419,callcenter@psiassets.com,https://www.propertyfinder.ae/en/broker/psi-assets-real-estates-limited-10525,"commercial_listings:16,total_properties:456",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
202501573303,BIG BLOCK REAL ESTATE LEASE AND MANAGEMENT SERVICES  - L.L.C - S.P.C,,,,,,"Office 0, Building 0, Abu Dhabi Gate City, 0, Abu Dhabi, PO Box 0",+971504551094,,https://www.propertyfinder.ae/en/broker/big-block-real-estate-lease-and-management-services-l-l-c-s-p-c-12744,total_properties:4,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,email_office redacted: personal domain
20255,Miramar Real Estate Management LTD,,,,,,"Office 1903, Building Sky Tower, Al Reem Island, Al Reem Island, Abu Dhabi, PO Box 520",+97124444360,natalia.riabina@miramar-uae.com,https://www.propertyfinder.ae/en/broker/miramar-real-estate-management-ltd-1303,"commercial_listings:1,total_properties:59",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
27821,URBAN CHIC LTD,,,,,,"Office Office 45, Floor 11, Building Sky Tower,, Al Reem Island, Al Reem Island, Abu Dhabi, Abu Dhabi, PO Box -",+971586868530,uae@my-urbanchic.com,https://www.propertyfinder.ae/en/broker/urban-chic-ltd-v2-180296,total_properties:3,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
5238976,INSPIRENTALS MIDDLE EAST,,,,,,"Office Office 112, Building Madinat Zayed Office Tower, Madinat Zayed, muroor road, Abu Dhabi,",+971507790385,adam@inspirentals.com,https://www.propertyfinder.ae/en/broker/inspirentals-middle-east-12866,total_properties:55,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
629897,RRE RELAAM REAL ESTATE L.L.C ­ DUBAI BRANCH,,,,,,"Office Upper Basement Level, Madinat Zayed, Marina Mall, Abu Dhabi,",+97123073233,van.pasilan@relaam.com,https://www.propertyfinder.ae/en/broker/rre-relaam-real-estate-l-l-c-dubai-branch-v2-179982,"commercial_listings:3,total_properties:8",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
6308895,Springfield Abu Dhabi,,,,,,"Office 149, Building Wafra Square Building, Al Reem Island, Wafra Square Building, Abu Dhabi, PO Box .",+971505126373,admin.ad@springfield-re.com,https://www.propertyfinder.ae/en/broker/springfield-abu-dhabi-v2-180384,total_properties:2,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
690081,EMIRATES INTERNATIONAL PROPERTY SERVICES L.L.C - DUBAI BRANCH,,,,,,"Office 2nd Floor Block A, Building Al Nahyan Commercial Building 11, Al Nahyan Camp, Delma Street, Abu Dhabi, PO Box 54900",+971564040295,ntolentino@bloom.co.ae,https://www.propertyfinder.ae/en/broker/emirates-international-property-services-l-l-c-dubai-branch-1805,total_properties:2,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1010367,CANDOUR REAL ESTATE - SOLE PROPRIETORSHIP L.L.C.,,,,,,"Office 1012 - Floor 10, Building Tourist Club Area, Al Zahiyah, Al Zahiyah, Abu Dhabi, PO Box 1012",+971504172789,,https://www.propertyfinder.ae/en/broker/candour-real-estate-sole-proprietorship-l-l-c-855,"commercial_listings:4,total_properties:4",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,email_office redacted: personal domain
CN-1011454,Vesta Real Estate Management,,,,,,"Office M14, Building Elite Cars Showroom Bldg, Between Two Bridges, Between Two Bridges, Abu Dhabi,",+97126763755,marina@remax-vesta.com,https://www.propertyfinder.ae/en/broker/vesta-real-estate-management-589,"commercial_listings:1,total_properties:42",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1013055,Manazel Specialist Real estate,,,,,,"Office 101, Building Al Reem Island, Al Reem Island, Al Reem Island, Abu Dhabi, PO Box -",+971529992412,said.jaidi@manazelspecialists.ae,https://www.propertyfinder.ae/en/broker/manazel-specialist-real-estate-7981,"commercial_listings:2,total_properties:13",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1016137,PJN Real Estate,,,,,,"Office M1, Building Euro mobile building, Al Zahiyah, Hamdan Bin Mohammed Street, Abu Dhabi, PO Box 51197",+971559019997,info@pjnpropertiesuae.com,https://www.propertyfinder.ae/en/broker/pjn-real-estate-450,"commercial_listings:1,total_properties:12",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1017611,Colliers International,,,,,,"Office Aldar Estates, Building 1st Floor, Yas Mall, Yas Island, 24 Al Maha Street, Abu Dhabi, PO Box 45640",+97144037700,khaled.chahal@colliers.ae,https://www.propertyfinder.ae/en/broker/colliers-574,"commercial_listings:22,total_properties:178",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1023586,spike vista real estate - l.l.c - o.p.c,,,,,,"Office 7th Floor, Building Dar Al Salam, Corniche Road, Cornish, Abu Dhabi, PO Box -",+971555521398,info@spikevista.com,https://www.propertyfinder.ae/en/broker/spike-vista-real-estate-l-l-c-o-p-c-12427,total_properties:66,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1028851,EAGLE MANAGEMENT SERVICES - L L C,,,,,,"Office 101, Building Darwich, Al Khalidiya, Zayed First, Abu Dhabi, PO Box 0",+971562534600,marketing@eaglems.ae,https://www.propertyfinder.ae/en/broker/eagle-management-services-l-l-c-7552,"commercial_listings:2,total_properties:3",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1029459,Scope Hauser Real Estate Management and Contracting L.L.C,,,,,,"Office 0, Building 0, Abu Dhabi Gate City, 0, Abu Dhabi, PO Box 0",+971561203118,ibrahimrajab@scopehauser.com,https://www.propertyfinder.ae/en/broker/scope-hauser-real-estate-management-and-contracting-l-l-c-10492,"commercial_listings:3,total_properties:22",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1035283,MIDDLE WORLD PROPERTY MANAGEMENT & GENERAL MAINTENANCE . L.L.C.,,,,,,"Office M, Building Middle World Building, Al Salam Street, Middle World Building, Abu Dhabi,",+971505833354,marketing@middle-world.ae,https://www.propertyfinder.ae/en/broker/middle-world-property-management-general-maintenance-l-l-c-10636,"commercial_listings:8,total_properties:42",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1045037,Trans Emirates Properties,,,,,,"Office -, Building -, Abu Dhabi Gate City, -, Abu Dhabi, PO Box -",+971544293551,info@tepuae.com,https://www.propertyfinder.ae/en/broker/trans-emirates-properties-10993,"commercial_listings:1,total_properties:45",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1047937,Emirates Towers International General Contracting and Property Management,,,,,,"Office Mezzanine, M2, Building jabal arafat restaurant building, Defense Road, -, Abu Dhabi, PO Box -",+971569055335,,https://www.propertyfinder.ae/en/broker/emirates-towers-international-general-contracting-and-property-management-v2-12849,"commercial_listings:10,total_properties:10",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,email_office redacted: personal domain
CN-1059312,Diamond Key Properties,,,,,,"Office 202, Building Al Khaznah Tower, Al Danah, Najdah Street, Abu Dhabi,",+971562225470,info@diamondkeyproperties.ae,https://www.propertyfinder.ae/en/broker/diamond-key-properties-1054,total_properties:12,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1062600,Better Homes - Abu Dhabi,,,,,,"Office Block D1, Building GA4, Al Raha Beach, Al Zeina, Abu Dhabi, PO Box 297",+97144081000,marketing@bhomes.com,https://www.propertyfinder.ae/en/broker/better-homes-abu-dhabi-2595,total_properties:200,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
CN-1069541,Island Falcon Property Management,,,,,,"Office 305, Building Al Muntazah Tower, Al Khalidiya, Khalidiya Street, Abu Dhabi, PO Box 105599",+97124442123,info@ifpm.ae,https://www.propertyfinder.ae/en/broker/island-falcon-property-management-496,"commercial_listings:4,total_properties:22",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
