rera_office_number,company_name_en,company_name_ar,trade_licence,status,registration_date,expiry_date,address,phone_office,email_office,website,specialisation_tags,land_specialist_flag,source_url,retrieved_date,pdpl_compliance_note
,Ax Capital Real Estate - Abu Dhabi,,,,,,"Office 31st Floor, Building Concord Tower, Dubai Media City, Media City, Dubai, PO Box .",+97142427373,abudhabi@axcapital.ae,https://www.propertyfinder.ae/en/broker/ax-capital-real-estate-abu-dhabi-7546,total_properties:2,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
,E R Real Estate,,,,,,"Office 603, Metropolis Tower, Business Bay Dubai",,,https://www.propertyfinder.ae/en/broker/e-r-real-estate-5519,total_properties:9,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
,GLIDAI HOLIDAY HOMES L.L.C,,,,,,"Office -, Building -, Business Bay, -, Dubai,",+971581835700,admin@drasiestate.com,https://www.propertyfinder.ae/en/broker/glidai-holiday-homes-l-l-c-11575,total_properties:25,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
-,ARABESCO PROPERTIES L.L.C,,,,,,"Office 16-17, Building Blue Bay Tower, Business Bay, Al khalee AL Tejari, Dubai, PO Box 00",+971508856726,najeeb@arabescoproperties.com,https://www.propertyfinder.ae/en/broker/arabesco-properties-l-l-c-8136,total_properties:17,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
-,Al Dhahyah Real Estate L.L.C,,,,,,"Office -, Building -, Business Bay, -, Dubai, PO Box -",+971556669690,omar.alnoeimi@aldhahyah.ae,https://www.propertyfinder.ae/en/broker/al-dhahyah-real-estate-l-l-c-12776,"commercial_listings:27,total_properties:126",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
-,BESPOKE PROPERTY MANAGEMENT,,,,,,"Office Residence, Building N residence - Palm Jumeirah, Palm Jumeirah, North, Dubai,",+971502395725,info@bespokepropertymanagement.com,https://www.propertyfinder.ae/en/broker/bespoke-property-management-8749,total_properties:4,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
-,Dubai Residential,,,,,,"Office 4rth floor, Building Building 1, Dubai Studio City, Dubai Studio City, Dubai,",+97144351540,moataz.samak@dham.ae,https://www.propertyfinder.ae/en/broker/dubai-residential-2241,"commercial_listings:10,total_properties:98",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
-,Dubai South Properties DWC-LLC,,,,,,"Office DP HQ, Building DP HQ, Dubai South, PB 282228, Dubai,",80076884,zia.amir@dubaisouth.ae,https://www.propertyfinder.ae/en/broker/dubai-south-properties-dwc-llc-2022,"commercial_listings:7,total_properties:7",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
-,Emirates Properties Dubai,,,,,,"Office Suite 839-839 A, Building Al Ghurair Office Towers, Deira, Entrance 3, Al Ghurair Centre, Dubai,",+971501865100,munseer@emiratesproperties.com,https://www.propertyfinder.ae/en/broker/emirates-properties-dubai-4914,"commercial_listings:19,total_properties:101",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
-,Emirates Properties Group,,,,,,"Office 1507, Building Sidra Tower, Al Sufouh, Al Sufouh 1, Dubai,",+97167073888,info@epgroup.ae,https://www.propertyfinder.ae/en/broker/emirates-properties-group-4445,total_properties:9,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
-,Everluxe Holiday Homes Rental,,,,,,"Office 4825, Building Aspin Commercial Tower, Trade Centre, Sheikh Zayed Road, Dubai, PO Box 413943",+971585111123,info@stayeverluxe.com,https://www.propertyfinder.ae/en/broker/everluxe-holiday-homes-rental-4723,total_properties:35,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
-,Home Square Vacation Homes LLC,,,,,,"Office 1309, Building 51 Tower, Business Bay, Marasi Drive, Dubai, PO Box 0000",+971506604880,nick@homesquareholidayhomes.com,https://www.propertyfinder.ae/en/broker/home-square-vacation-homes-llc-6776,total_properties:11,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
-,JSR Global Vacation Home Rentals LLC,,,,,,"Office 410, Building Opal Tower, Business Bay, abraj street, Dubai, PO Box 1234",+971586317358,sales@jsrgroup.ae,https://www.propertyfinder.ae/en/broker/jsr-global-vacation-home-rentals-llc-6390,total_properties:42,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
-,Leva Hotel LLC,,,,,,"Office hotel, Building leva hotel, Business Bay, Mazaya Centre, SZR, Dubai, PO Box 1",+971586216417,jaydee@stayleva.com,https://www.propertyfinder.ae/en/broker/leva-hotel-llc-4579,"hotel,total_properties:5",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
-,PROPR LUXURY VACATION HOMES RENTAL LLC,,,,,,"Office Office 1207, Building Thuraya Communications Tower, Barsha Heights (Tecom), ., Dubai, PO Box 0000",+971564145414,hassan@propr.ae,https://www.propertyfinder.ae/en/broker/propr-luxury-vacation-homes-rental-llc-4656,total_properties:42,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
-,Royal Offices Dubai,,,,,,"Building Anantara Downtown , Level 31 – Business Tower, Business Bay, Marasi Drive, Dubai,",+971528920130,saalik.ibrahim@royaloffices.com,https://www.propertyfinder.ae/en/broker/royal-offices-dubai-3835,"commercial_listings:7,total_properties:7",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
-,Seddiqi Properties,,,,,,"Office Capricorn Tower, Building Shk Zayed Rd, Trade Centre, -, Dubai,",+97145114482,info@seddiqiproperties.com,https://www.propertyfinder.ae/en/broker/seddiqi-properties-3569,total_properties:7,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
-,Swissotel Al Murooj Hotel LLC,,,,,,"Office Lobby, Building Roda Al Murooj, Downtown Dubai, Road, Dubai, PO Box 0000",+97143211111,charade.grencio@roda-hotels.com,https://www.propertyfinder.ae/en/broker/swissotel-al-murooj-hotel-llc-3335,"hotel,total_properties:16",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
-,VOGUE VACATION HOMES RENTAL L.L.C,,,,,,"Office -, Building -, Al Quoz, -, Dubai, PO Box -",+971526551978,wael@voguevacationhomes.com,https://www.propertyfinder.ae/en/broker/vogue-vacation-homes-rental-l-l-c-10633,total_properties:18,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
-,VayK Vacation Homes,,,,,,"Office 2101, Building Marina Plaza, Dubai Marina, na, Dubai,",+971528352454,daniel@vayk.ae,https://www.propertyfinder.ae/en/broker/vayk-vacation-homes-5287,total_properties:98,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
-,Zephyr vacation Homes Rental L.L.C,,,,,,"Office JVC, Building JVC, Jumeirah Village Circle, JVC, Dubai,",+971502392010,,https://www.propertyfinder.ae/en/broker/zephyr-vacation-homes-rental-l-l-c-7648,total_properties:6,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,email_office redacted: personal domain
.,ALTON HOLIDAY HOMES L.L.C,,,,,,"Office Office 508-5, Building Apricot Tower, Dubai Silicon Oasis, Sheikh Zayed Bin Hamdan Al Nahyan Street, Dubai, PO Box .",+971567656997,info2@altonholidayhome.com,https://www.propertyfinder.ae/en/broker/alton-holiday-homes-l-l-c-12130,total_properties:4,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
.,Exclusive Holiday Homes,,,,,,"Office 10th Floor, Building Concord Tower, Dubai Media City, Al Bourooj Street, Dubai, PO Box 00000",+971504270057,management@exclusiveholidayhomes.ae,https://www.propertyfinder.ae/en/broker/exclusive-holiday-homes-9213,total_properties:5,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
.,Open Business Center,,,,,,"Office 3807,, Building Tower AA1, Mazaya Business Ave., Jumeirah Lake Towers, ., Dubai, PO Box 392629",+971551753848,fawad@openbc.ae,https://www.propertyfinder.ae/en/broker/open-business-center-9071,"commercial_listings:2,total_properties:2",TRUE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
.,VSERVE HOLIDAY HOMES L.L.C,,,,,,"Office ., Building ., Business Bay, Parklane Tower, Dubai, PO Box .",+971525064132,info@vserveliving.com,https://www.propertyfinder.ae/en/broker/vserve-holiday-homes-l-l-c-11422,total_properties:13,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
0,Carpediem lifestyle,,,,,,"Office 30th Floor, Building Royal Offices, Oberoi, Business Bay, Asayel, Dubai,",+971567852272,tariq@carpediemdxb.com,https://www.propertyfinder.ae/en/broker/carpediem-lifestyle-3254,total_properties:54,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
0,OCLEY HOMES RENTAL L.L.C,,,,,,"Office Office 1509, Building Westburry Office Tower, Business Bay, ., Dubai, PO Box 0",+971585351237,odysseasbs@yahoo.gr,https://www.propertyfinder.ae/en/broker/ocley-homes-rental-l-l-c-5342,total_properties:129,FALSE,https://www.propertyfinder.ae/en/find-broker/search,2026-04-26,
